,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9932208994708995
Gradient Boosting,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9907407407407408
